UE category,Duplex,BW,FC,frame,CALC LOAD UL PTP,UL PTMP,DL PTP,DL PTMP,CFI LEVEL,Label
4,TDD,20,2,1522,9.79,9.79,218.41,218.41,2,ca
4,TDD,20,2,1518,9.79,9.79,218.41,218.41,2,ca
4,TDD,20,2,1400,9.79,9.79,218.41,218.41,2,ca
4,TDD,20,2,1024,9.79,9.79,218.41,218.41,2,ca
4,TDD,20,2,512,9.79,9.79,218.41,218.41,2,ca
4,TDD,20,2,0,9.79,9.79,218.41,218.41,2,ca
4,TDD,20,1,1522,19.57,19.57,157.33,157.33,2,ca
4,TDD,20,1,1518,19.57,19.57,157.33,157.33,2,ca
4,TDD,20,1,1400,19.57,19.57,157.33,157.33,2,ca
4,TDD,20,1,1024,19.57,19.57,157.33,157.33,2,ca
4,TDD,20,1,512,19.57,19.57,157.33,157.33,2,ca
4,TDD,20,1,0,19.57,19.57,157.33,157.33,2,ca
4,TDD,15,2,1522,6.34,6.34,160.26,160.26,2,ca
4,TDD,15,2,1518,6.34,6.34,160.26,160.26,2,ca
4,TDD,15,2,1400,6.34,6.34,160.26,160.26,2,ca
4,TDD,15,2,1024,6.34,6.34,160.26,160.26,2,ca
4,TDD,15,2,512,6.34,6.34,160.26,160.26,2,ca
4,TDD,15,2,0,6.34,6.34,160.26,160.26,2,ca
4,TDD,15,1,1522,14.68,14.68,116.22,116.22,2,ca
4,TDD,15,1,1518,14.68,14.68,116.22,116.22,2,ca
4,TDD,15,1,1400,14.68,14.68,116.22,116.22,2,ca
4,TDD,15,1,1024,14.68,14.68,116.22,116.22,2,ca
4,TDD,15,1,512,14.68,14.68,116.22,116.22,2,ca
4,TDD,15,1,0,14.68,14.68,116.22,116.22,2,ca
4,TDD,10,2,1522,4.58,4.58,107.02,107.02,2,ca
4,TDD,10,2,1518,4.58,4.58,107.02,107.02,2,ca
4,TDD,10,2,1400,4.58,4.58,107.02,107.02,2,ca
4,TDD,10,2,1024,4.58,4.58,107.02,107.02,2,ca
4,TDD,10,2,512,4.58,4.58,107.02,107.02,2,ca
4,TDD,10,2,0,4.58,4.58,107.02,107.02,2,ca
4,TDD,10,1,1522,9.8,9.8,77.66,77.66,2,ca
4,TDD,10,1,1518,9.8,9.8,77.66,77.66,2,ca
4,TDD,10,1,1400,9.8,9.8,77.66,77.66,2,ca
4,TDD,10,1,1024,9.8,9.8,77.66,77.66,2,ca
4,TDD,10,1,512,9.8,9.8,77.66,77.66,2,ca
4,TDD,10,1,0,9.8,9.8,77.66,77.66,2,ca
